Start,End,Stage,Day,Zone
1:00,3:30,1,1,1
1:00,3:30,2,1,5
1:00,3:30,3,1,9
1:00,3:30,4,1,13
1:00,3:30,5,1,11
1:00,3:30,6,1,15
1:00,3:30,7,1,3
1:00,3:30,8,1,7
3:00,5:30,1,1,2
3:00,5:30,2,1,6
3:00,5:30,3,1,10
3:00,5:30,4,1,14
3:00,5:30,5,1,1
3:00,5:30,6,1,5
3:00,5:30,7,1,9
3:00,5:30,8,1,13
5:00,7:30,1,1,3
5:00,7:30,2,1,7
5:00,7:30,3,1,11
5:00,7:30,4,1,15
5:00,7:30,5,1,2
5:00,7:30,6,1,6
5:00,7:30,7,1,10
5:00,7:30,8,1,14
7:00,9:30,1,1,4
7:00,9:30,2,1,8
7:00,9:30,3,1,12
7:00,9:30,4,1,16
7:00,9:30,5,1,3
7:00,9:30,6,1,7
7:00,9:30,7,1,11
7:00,9:30,8,1,15
9:00,11:30,1,1,5
9:00,11:30,2,1,9
9:00,11:30,3,1,13
9:00,11:30,4,1,1
9:00,11:30,5,1,4
9:00,11:30,6,1,8
9:00,11:30,7,1,12
9:00,11:30,8,1,16
11:00,13:30,1,1,6
11:00,13:30,2,1,10
11:00,13:30,3,1,14
11:00,13:30,4,1,2
11:00,13:30,5,1,5
11:00,13:30,6,1,9
11:00,13:30,7,1,13
11:00,13:30,8,1,1
13:00,15:30,1,1,7
13:00,15:30,2,1,11
13:00,15:30,3,1,15
13:00,15:30,4,1,3
13:00,15:30,5,1,6
13:00,15:30,6,1,10
13:00,15:30,7,1,14
13:00,15:30,8,1,2
15:00,17:30,1,1,8
15:00,17:30,2,1,12
15:00,17:30,3,1,16
15:00,17:30,4,1,4
15:00,17:30,5,1,7
15:00,17:30,6,1,11
15:00,17:30,7,1,15
15:00,17:30,8,1,3
17:00,19:30,1,1,9
17:00,19:30,2,1,13
17:00,19:30,3,1,1
17:00,19:30,4,1,5
17:00,19:30,5,1,8
17:00,19:30,6,1,12
17:00,19:30,7,1,16
17:00,19:30,8,1,4
19:00,21:30,1,1,10
19:00,21:30,2,1,14
19:00,21:30,3,1,2
19:00,21:30,4,1,6
19:00,21:30,5,1,9
19:00,21:30,6,1,13
19:00,21:30,7,1,1
19:00,21:30,8,1,5
21:00,23:30,1,1,11
21:00,23:30,2,1,15
21:00,23:30,3,1,3
21:00,23:30,4,1,7
21:00,23:30,5,1,10
21:00,23:30,6,1,14
21:00,23:30,7,1,2
21:00,23:30,8,1,6
23:00,1:30,1,1,12
23:00,1:30,2,1,16
23:00,1:30,3,1,4
23:00,1:30,4,1,8
23:00,1:30,5,1,11
23:00,1:30,6,1,15
23:00,1:30,7,1,3
23:00,1:30,8,1,7
1:00,3:30,1,2,13
1:00,3:30,2,2,1
1:00,3:30,3,2,5
1:00,3:30,4,2,9
1:00,3:30,5,2,12
1:00,3:30,6,2,16
1:00,3:30,7,2,4
1:00,3:30,8,2,8
3:00,5:30,1,2,14
3:00,5:30,2,2,2
3:00,5:30,3,2,6
3:00,5:30,4,2,10
3:00,5:30,5,2,13
3:00,5:30,6,2,1
3:00,5:30,7,2,5
3:00,5:30,8,2,9
5:00,7:30,1,2,15
5:00,7:30,2,2,3
5:00,7:30,3,2,7
5:00,7:30,4,2,11
5:00,7:30,5,2,14
5:00,7:30,6,2,2
5:00,7:30,7,2,6
5:00,7:30,8,2,10
7:00,9:30,1,2,16
7:00,9:30,2,2,4
7:00,9:30,3,2,8
7:00,9:30,4,2,12
7:00,9:30,5,2,15
7:00,9:30,6,2,3
7:00,9:30,7,2,7
7:00,9:30,8,2,11
9:00,11:30,1,2,1
9:00,11:30,2,2,5
9:00,11:30,3,2,9
9:00,11:30,4,2,13
9:00,11:30,5,2,16
9:00,11:30,6,2,4
9:00,11:30,7,2,8
9:00,11:30,8,2,12
11:00,13:30,1,2,2
11:00,13:30,2,2,6
11:00,13:30,3,2,10
11:00,13:30,4,2,14
11:00,13:30,5,2,1
11:00,13:30,6,2,5
11:00,13:30,7,2,9
11:00,13:30,8,2,13
13:00,15:30,1,2,3
13:00,15:30,2,2,7
13:00,15:30,3,2,11
13:00,15:30,4,2,15
13:00,15:30,5,2,2
13:00,15:30,6,2,6
13:00,15:30,7,2,10
13:00,15:30,8,2,14
15:00,17:30,1,2,4
15:00,17:30,2,2,8
15:00,17:30,3,2,12
15:00,17:30,4,2,16
15:00,17:30,5,2,3
15:00,17:30,6,2,7
15:00,17:30,7,2,11
15:00,17:30,8,2,15
17:00,19:30,1,2,5
17:00,19:30,2,2,9
17:00,19:30,3,2,13
17:00,19:30,4,2,1
17:00,19:30,5,2,4
17:00,19:30,6,2,8
17:00,19:30,7,2,12
17:00,19:30,8,2,16
19:00,21:30,1,2,6
19:00,21:30,2,2,10
19:00,21:30,3,2,14
19:00,21:30,4,2,2
19:00,21:30,5,2,5
19:00,21:30,6,2,9
19:00,21:30,7,2,13
19:00,21:30,8,2,1
21:00,23:30,1,2,7
21:00,23:30,2,2,11
21:00,23:30,3,2,15
21:00,23:30,4,2,3
21:00,23:30,5,2,6
21:00,23:30,6,2,10
21:00,23:30,7,2,14
21:00,23:30,8,2,2
23:00,1:30,1,2,8
23:00,1:30,2,2,12
23:00,1:30,3,2,16
23:00,1:30,4,2,4
23:00,1:30,5,2,7
23:00,1:30,6,2,11
23:00,1:30,7,2,15
23:00,1:30,8,2,3
1:00,3:30,1,3,9
1:00,3:30,2,3,13
1:00,3:30,3,3,1
1:00,3:30,4,3,5
1:00,3:30,5,3,8
1:00,3:30,6,3,12
1:00,3:30,7,3,16
1:00,3:30,8,3,4
3:00,5:30,1,3,10
3:00,5:30,2,3,14
3:00,5:30,3,3,2
3:00,5:30,4,3,6
3:00,5:30,5,3,9
3:00,5:30,6,3,13
3:00,5:30,7,3,1
3:00,5:30,8,3,5
5:00,7:30,1,3,11
5:00,7:30,2,3,15
5:00,7:30,3,3,3
5:00,7:30,4,3,7
5:00,7:30,5,3,10
5:00,7:30,6,3,14
5:00,7:30,7,3,2
5:00,7:30,8,3,6
7:00,9:30,1,3,12
7:00,9:30,2,3,16
7:00,9:30,3,3,4
7:00,9:30,4,3,8
7:00,9:30,5,3,11
7:00,9:30,6,3,15
7:00,9:30,7,3,3
7:00,9:30,8,3,7
9:00,11:30,1,3,13
9:00,11:30,2,3,1
9:00,11:30,3,3,5
9:00,11:30,4,3,9
9:00,11:30,5,3,12
9:00,11:30,6,3,16
9:00,11:30,7,3,4
9:00,11:30,8,3,8
11:00,13:30,1,3,14
11:00,13:30,2,3,2
11:00,13:30,3,3,6
11:00,13:30,4,3,10
11:00,13:30,5,3,13
11:00,13:30,6,3,1
11:00,13:30,7,3,5
11:00,13:30,8,3,9
13:00,15:30,1,3,15
13:00,15:30,2,3,3
13:00,15:30,3,3,7
13:00,15:30,4,3,11
13:00,15:30,5,3,14
13:00,15:30,6,3,2
13:00,15:30,7,3,6
13:00,15:30,8,3,10
15:00,17:30,1,3,16
15:00,17:30,2,3,4
15:00,17:30,3,3,8
15:00,17:30,4,3,12
15:00,17:30,5,3,15
15:00,17:30,6,3,3
15:00,17:30,7,3,7
15:00,17:30,8,3,11
17:00,19:30,1,3,1
17:00,19:30,2,3,5
17:00,19:30,3,3,9
17:00,19:30,4,3,13
17:00,19:30,5,3,16
17:00,19:30,6,3,4
17:00,19:30,7,3,8
17:00,19:30,8,3,12
19:00,21:30,1,3,2
19:00,21:30,2,3,6
19:00,21:30,3,3,10
19:00,21:30,4,3,14
19:00,21:30,5,3,1
19:00,21:30,6,3,5
19:00,21:30,7,3,9
19:00,21:30,8,3,13
21:00,23:30,1,3,3
21:00,23:30,2,3,7
21:00,23:30,3,3,11
21:00,23:30,4,3,15
21:00,23:30,5,3,2
21:00,23:30,6,3,6
21:00,23:30,7,3,10
21:00,23:30,8,3,14
23:00,1:30,1,3,4
23:00,1:30,2,3,8
23:00,1:30,3,3,12
23:00,1:30,4,3,16
23:00,1:30,5,3,3
23:00,1:30,6,3,7
23:00,1:30,7,3,11
23:00,1:30,8,3,15
1:00,3:30,1,4,5
1:00,3:30,2,4,9
1:00,3:30,3,4,13
1:00,3:30,4,4,1
1:00,3:30,5,4,4
1:00,3:30,6,4,8
1:00,3:30,7,4,12
1:00,3:30,8,4,16
3:00,5:30,1,4,6
3:00,5:30,2,4,10
3:00,5:30,3,4,14
3:00,5:30,4,4,2
3:00,5:30,5,4,5
3:00,5:30,6,4,9
3:00,5:30,7,4,13
3:00,5:30,8,4,1
5:00,7:30,1,4,7
5:00,7:30,2,4,11
5:00,7:30,3,4,15
5:00,7:30,4,4,3
5:00,7:30,5,4,6
5:00,7:30,6,4,10
5:00,7:30,7,4,14
5:00,7:30,8,4,2
7:00,9:30,1,4,8
7:00,9:30,2,4,12
7:00,9:30,3,4,16
7:00,9:30,4,4,4
7:00,9:30,5,4,7
7:00,9:30,6,4,11
7:00,9:30,7,4,15
7:00,9:30,8,4,3
9:00,11:30,1,4,9
9:00,11:30,2,4,13
9:00,11:30,3,4,1
9:00,11:30,4,4,5
9:00,11:30,5,4,8
9:00,11:30,6,4,12
9:00,11:30,7,4,16
9:00,11:30,8,4,4
11:00,13:30,1,4,10
11:00,13:30,2,4,14
11:00,13:30,3,4,2
11:00,13:30,4,4,6
11:00,13:30,5,4,9
11:00,13:30,6,4,13
11:00,13:30,7,4,1
11:00,13:30,8,4,5
13:00,15:30,1,4,11
13:00,15:30,2,4,15
13:00,15:30,3,4,3
13:00,15:30,4,4,7
13:00,15:30,5,4,10
13:00,15:30,6,4,14
13:00,15:30,7,4,2
13:00,15:30,8,4,6
15:00,17:30,1,4,12
15:00,17:30,2,4,16
15:00,17:30,3,4,4
15:00,17:30,4,4,8
15:00,17:30,5,4,11
15:00,17:30,6,4,15
15:00,17:30,7,4,3
15:00,17:30,8,4,7
17:00,19:30,1,4,13
17:00,19:30,2,4,1
17:00,19:30,3,4,5
17:00,19:30,4,4,9
17:00,19:30,5,4,12
17:00,19:30,6,4,16
17:00,19:30,7,4,4
17:00,19:30,8,4,8
19:00,21:30,1,4,14
19:00,21:30,2,4,2
19:00,21:30,3,4,6
19:00,21:30,4,4,10
19:00,21:30,5,4,13
19:00,21:30,6,4,1
19:00,21:30,7,4,5
19:00,21:30,8,4,9
21:00,23:30,1,4,15
21:00,23:30,2,4,3
21:00,23:30,3,4,7
21:00,23:30,4,4,11
21:00,23:30,5,4,14
21:00,23:30,6,4,2
21:00,23:30,7,4,6
21:00,23:30,8,4,10
23:00,1:30,1,4,16
23:00,1:30,2,4,4
23:00,1:30,3,4,8
23:00,1:30,4,4,12
23:00,1:30,5,4,15
23:00,1:30,6,4,3
23:00,1:30,7,4,7
23:00,1:30,8,4,11
1:00,3:30,1,5,2
1:00,3:30,2,5,6
1:00,3:30,3,5,10
1:00,3:30,4,5,14
1:00,3:30,5,5,16
1:00,3:30,6,5,4
1:00,3:30,7,5,8
1:00,3:30,8,5,12
3:00,5:30,1,5,3
3:00,5:30,2,5,7
3:00,5:30,3,5,11
3:00,5:30,4,5,15
3:00,5:30,5,5,2
3:00,5:30,6,5,6
3:00,5:30,7,5,10
3:00,5:30,8,5,14
5:00,7:30,1,5,4
5:00,7:30,2,5,8
5:00,7:30,3,5,12
5:00,7:30,4,5,16
5:00,7:30,5,5,3
5:00,7:30,6,5,7
5:00,7:30,7,5,11
5:00,7:30,8,5,15
7:00,9:30,1,5,5
7:00,9:30,2,5,9
