,,
1,13,AFRICAN RENAISSANCE
2,3,ALPHENPARK
3,6,ALPHENPARK
4,3,AMANDASIG
5,3,AMANDASIG extension 10 12 16 19 2 20 21 23 24 25 31 33 36 37 38 40 41 42 43 44 45 5 50 51 52 57 58 69 7
6,10,ANDEON
7,10,ANDEON extension 1 14 15 20 22 24 28 5
8,16,ANNLIN
9,16,ANNLIN extension 1 105 106 107 108 109 110 111 112 114 115 117 13 132 138 15 19 2 23 24 27 3 30 31 32 33 34 35 36 37 38 4 5 50 52 53 54 56 57 58 59 6 61 63 67 7 71 8 81 87 91 93
10,11,ANNLIN-WES extension 12 19 21 23 40
11,16,ANNLIN-WES extension 13 3 41 43 46 7
12,3,ARCADIA extension 0
13,3,ARCADIA extension 0 7 8
14,10,ASANTE VILLAGE
15,3,ASHLEA GARDENS
16,3,ASHLEA GARDENS extension 2 6
17,15,ATTERIDGEVILLE extension 0 16 17 18 3 4 5 6 7
18,15,ATTERIDGEVILLE extension 0 25 26 27 28 30 31 32 33 34 35 40 41 42 45
19,5,BEAU RIVAGE
20,15,BELLEVUE
21,8,BERGTUIN
22,2,BOARDWALK extension 1 10 15 2 21 4 5 7 9
23,2,BOARDWALK extension 11 12 13 16 18 20 22 25 29 3 30 31 35
24,2,BOARDWALK MANOR
25,2,BOARDWALK MEANDER
26,2,BOARDWALK VILLAS
27,2,BOARDWALK VILLAS extension 1 2 3 4
28,10,BOOYSENS
29,10,BOOYSENS extension 1
30,2,BRONBERG
31,2,BRONBERG CLOSE
32,2,BRONBERG CLOSE extension 1 2 3 5 6
33,2,BRONBERG extension 1 10 14 17 18 2 22 6 7 8
34,2,BRONBERG extension 12 19 4
35,14,BRONBERRIK
36,5,BRONKHORSTSPRUIT extension 1 2 6
37,6,BROOKLYN
38,13,BRUMMERIA
39,13,BRUMMERIA extension 1 12 13 14 16 17 18 2 3 4 7 8
40,6,BRYNTIRION
41,2,CAMEL VALLEY
42,2,CARDINAL
43,14,CELTISDAL
44,14,CELTISDAL extension 11 13 15 19 20 23 29 3 33 39 4 42 48 55 57 61 7 8  
45,13,CELTISDAL extension 25 26 28 30 34 44 56
46,3,CHANTELLE
47,3,CHANTELLE extension 1 13 14 16 2 22 23 24 25 26 27 28 3 30 31 39 4 40 41 42 6 8 
48,7,CHRISTOBURG
49,10,CLAREMONT
50,10,CLAREMONT extension 2
51,10,CLARINA extension 1 19 21 22 25 26 27 28 29 3 30 32 35 37 38 6
52,7,CLAUDIUS
53,7,CLAUDIUS extension 1
54,7,CLUBVIEW
55,7,CLUBVIEW extension 1 10 100 102 105 108 12 2 24 26 27 31 33 34 39 4 40 41 45 47 48 5 51 54 55 56 57 58 6 61 62 63 7 72 75 77 78 8 80 87 90 92 94 98 99
56,6,COLBYN
57,6,COLBYN extension 1 2
58,3,CONSTANTIA PARK
59,3,CONSTANTIA PARK extension 1 2 3
60,2,COUNTRY VIEW ESTATE
61,2,COUNTRY VIEW ESTATE extension 1
62,14,CRANBROOKVALE
63,5,CULTURA PARK extension 11
64,6,DANVILLE
65,6,DANVILLE extension 1 10 11 12 13 14 15 2 3 5 8 9
66,14,DANVILLE extension 2
67,3,DE BEERS
68,6,DEERNESS
69,8,DERDEPOORT
70,8,DERDEPOORT extension 3
71,8,DERDEPOORTPARK extension 11 2 3
72,15,DESPATCH
73,11,DIE HOEWES extension 144
74,7,DIE HOEWES extension 285 286 287 6 85 93
75,13,DIE WILGERS
76,13,DIE WILGERS extension 1 11 13 14 15 16 17 19 23 25 28 30 36 41 43 44 47 49 50 51 52 53 54 57 60 62 64 65 66 68 69 70 71 79 82 83 9
77,16,DOORNPOORT
78,16,DOORNPOORT extension 1 6
79,12,DOORNPOORT extension 29 31 32 33 34 35 38 40 41 42
80,10,DORANDIA
81,10,DORANDIA extension 1 10 11 13 15 16 2 3 4 5 6 7 8 9
82,11,DORINGKLOOF
83,11,DORINGKLOOF extension 1
84,10,EAGLES LANDING
85,8,EAST LYNNE
86,8,EAST LYNNE extension 1 2 5
87,15,EERSTERUST
88,15,EERSTERUST extension 2 3 4 5 6
89,5,EKANDUSTRIA
90,8,EKKLESIA
91,8,EKKLESIA extension 1 2 3 5
92,6,ELANDSPOORT
93,8,ELARDUS PARK
94,8,ELARDUS PARK extension 1 11 14 15 18 2 20 22 26 27 28 3 4 5 6 7 9
95,14,ELDORAIGNE
96,14,ELDORAIGNE extension 1 10 11 16 17 19 2 20 21 23 26 27 28 3 31 32 33 35 37 38 39 40 41 42 45 46 47 48 49 51 53 58 6 62 66 67 68 9
97,13,ELDORAIGNE extension 18
98,14,ELDORETTE extension 1 17 20 21 22 30 40 51
99,16,ELOFFSDAL
100,16,ELOFFSDAL extension 1 13 2 3 4
101,13,EQUESTRIA extension 100 109 111 113 126 128 131 137 144 15 151 155 163 165 172 182 183 189 198 2 202 230 238 27 28 29 46 55 56 61 62 63 66 68 69 80 83 86 87
102,2,EQUESTRIA extension 102 103 104 107 108 11 110 112 114 116 121 123 124 125 127 132 133 136 140 141 142 143 146 148 151 152 153 154 16 160 167 168 169 171 173 177 179 180 181 185 186 190 192 193 196 197 199 208 209 213 215 216 24 25 26 28 29 31 45 47 57 7 74 76 78 79 82 89 91 92 93 94 95 96 99
103,7,ERASMIA
104,7,ERASMIA extension 3 5 6
105,5,ERASMUS
106,5,ERASMUS extension 14 15 16 17 19 2 20 25 3 4 5 6 8
107,8,ERASMUSKLOOF extension 2 3 4
108,8,ERASMUSPARK extension 1
109,8,ERASMUSRAND
110,1 & 9,ESKOM Customers in Tshwane Municipal Area. 
111,2,FAERIE GLEN extension 1 10 11 15 17 18 2 22 24 25 26 27 28 3 31 32 33 34 36 37 38 39 40 41 44 45 46 47 48 49 50 51 52 55 56 57 59 6 61 62 63 64 65 66 67 68 69 7 70 71 72 73 75 76 77 78 8 80 81 9
112,3,FAERIE GLEN extension 15
113,2,FAERIE GLEN 
114,7,FERNEL PARK extension 1 2
115,10,FLORAUNA
116,10,FLORAUNA extension 1 2 3 5 7 8 9
117,3,GARSFONTEIN
118,3,GARSFONTEIN extension 1 14 15 16 17 2 3 4 5 6 7 8
119,7,GARSFONTEIN extension 10 11 12 13 15
120,13,GEORGEVILLE
121,11,GEZINA
122,14,GLEN LAURISTON
123,7,GLEN LAURISTON extension 1 2 5 6 7 
124,6,GROENKLOOF
125,6,GROENKLOOF extension 1 5 9
126,6,HATFIELD
127,6,HAZELWOOD
128,10,HEATHERVIEW extension 12 19 20 21 23 24 25 26 27 28 29 31 32 34 35 36 37 38 39 4 48 49 52 55 56 60 61
129,14,HENNOPSPARK
130,14,HENNOPSPARK extension 1 2 25 32 33 36 38 39 4 41 42 5 58 61 62 65 66 67 68 74 76 9
131,7,HENNOPSPARK extension 1 39
132,13,HENNOPSPARK extension 15 16 20 21 22 23 25 26 29 3 31 33 35 36 40 46 47 48 49 54 55 56 60 64 69 7 70 71 75 77 79 80 81 83 84 85 86 87 89 90 91 92 93 94
133,10,HESTEAPARK extension 1 18 19 25 27 28 29 39 4 5 8 9
134,13,HEUWELOORD extension 11 14 2 3 4 6
135,13,HIGHVELD extension 108
136,11,HIGHVELD extension 7
137,6,HILLCREST
138,6,HILLCREST extension 1
139,5,HONDSRIVIER
140,10,IFAFI
141,10,IFAFI extension 1 12 6 7
142,11,IRENE
143,11,IRENE extension 1 10 2 30 31 36 39 4 42 43 44 49 5 52 55 60 67 70 72 77 86 9 93 94
144,14,IRENE extension 50 51
145,8,JAN NIEMANDPARK
146,15,KAMEELDRIFT
147,15,KAMEELDRIFT extension 1 5
148,10,KARENPARK extension 0
149,3,KARENPARK extension 0 10 12 15 19 22 23 24 25 26 27 29 33 34 35 36 37 39 40 41 42 46 47 49 5 52 9
150,8,KILNER PARK
151,8,KILNER PARK extension 1 2
152,10,KIRKNEY extension 1 11 12 13 14 19 2 24 28 30 4 5 6
153,10,KLERKSOORD extension 19 20
154,14,KLOOFZICHT
155,14,KLOOFZICHT extension 2
156,8,KOEDOESPOORT
157,3,KOPANONG
158,12,KOSMOSDAL extension 11 12 13 15 16 17 18 19 20 21 22 23 24 25 26 29 30 31 32 33 37 38 4 51 52 53 55 56 61 62 65 66 67 68 7 70 73 75 76 77 78 79 80 81 82 83 84
159,5,KRISTALPARK
160,14,KWAGGASRAND
161,10,LA CAMARGUE
162,16,LA CONCORDE
163,15,LA CONCORDE
164,13,LA MONTAGNE
165,13,LA MONTAGNE extension 1 11 13 2 3 6 7 9
166,10,LADY SELBORNE extension 1
167,3,LAUDIUM
168,3,LAUDIUM extension 1 2 3 4
169,16,LES MARAIS
170,8,LINDO PARK
171,8,LINDO PARK extension 1 3
172,6,LISDOGAN PARK
173,14,LOTUS GARDENS
174,14,LOTUS GARDENS extension 10 11 12 2 3 4 5 6 7 8 9
175,12,LOUWLARDIA extension 10 11 12 13 22 25 32 34 35 36 38 39 43 46 47 61 8
176,13,LYDIANA
177,13,LYNNRODENE
178,6,LYNNWOOD
179,6,LYNNWOOD extension 1
180,13,LYNNWOOD GLEN
181,13,LYNNWOOD GLEN extension 2 3 4
182,13,LYNNWOOD MANOR
183,13,LYNNWOOD MANOR extension 1 2 3 4 6
184,2,LYNNWOOD PARK
185,13,LYNNWOOD RIDGE
186,13,LYNNWOOD RIDGE extension 1 12 13 14 2 5
187,14,LYTTELTON MANOR
